Year_-1,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22
0.006585002,-0.0024251342,-0.10600805,-0.08335072,-0.08355266,-0.06799042,-0.07053602,-0.06520289,-0.07086176,-0.08738613,-0.06349659,-0.038182974,-0.06403726,-0.061387956,-0.025105894,-0.03946644,-0.030928433,-0.029121459,-0.017475069,-0.015057504,-0.02209419,-0.0010817647,,
0.0019884706,1.4543533e-05,-0.16993198,-0.16700104,-0.14617008,-0.10799557,-0.13975734,-0.12359041,-0.12638128,-0.106865585,-0.09969962,-0.03331679,-0.070634246,-0.07348192,-0.063088596,-0.0729152,-0.08998817,-0.059353173,-0.077952504,-0.026712954,-0.001986444,-0.099594474,-0.042789638,-0.061628222
-0.015926778,-0.015577614,-0.19141841,-0.17502424,-0.15674478,-0.12201244,-0.14616418,-0.13021779,-0.13475502,-0.12281853,-0.107247114,-0.05117929,-0.08370733,-0.08268559,-0.078989506,-0.085457265,-0.08868384,-0.069787025,-0.09010571,-0.040456295,-0.027387619,-0.101683974,-0.048716605,-0.06889588
-0.07508123,-0.10906792,-0.3005053,-0.22779706,-0.2151055,-0.21849152,-0.18396434,-0.19149801,-0.1847921,-0.20297831,-0.17384923,-0.16055101,-0.17118233,-0.12999189,-0.1638456,-0.13616186,-0.086315155,-0.118152976,-0.14038175,-0.14949644,-0.1404162,-0.09701884,-0.08277434,-0.087031305
-0.049116015,-0.027965605,-0.33256826,-0.2024211,-0.19400954,-0.16934237,-0.18098971,-0.14625958,-0.15579548,-0.16833419,-0.12299085,-0.1275335,-0.1359163,-0.069509745,-0.10499966,-0.08511996,-0.059895337,-0.06715864,-0.057810903,-0.06144768,-0.072723925,0.010004282,-0.038303196,-0.028003335
-0.025465608,-0.014103293,-0.34262195,-0.19260752,-0.19857487,-0.16499865,-0.1848565,-0.14808035,-0.14428249,-0.15357155,-0.10686278,-0.13707703,-0.15511549,-0.08104998,-0.12813938,-0.13114488,-0.06808728,-0.05537063,-0.060789287,-0.058773756,-0.07111359,0.031535506,-0.056819677,-0.038029015
0.009448826,0.027323604,-0.070803225,-0.08413404,-0.096378565,-0.080985606,-0.06212145,-0.055077553,-0.06208074,-0.106158376,-0.019107759,-0.05097252,-0.008165598,-0.017798662,-0.0016463399,-0.026919186,-0.012089014,-0.021892786,-0.019261897,-0.041903198,-0.010753751,0.0026692152,,
0.0108971,0.038039207,-0.06985885,-0.0884853,-0.091835976,-0.07384473,-0.051453352,-0.051936507,-0.0548414,-0.08927989,-0.0067073107,-0.051546335,0.010211527,-0.0027803779,0.002118051,-0.023725152,-0.0071797967,-0.023750603,-0.02084589,-0.038761377,-0.0072755218,-0.0005401373,,
-0.0062746406,0.011978984,-0.043388665,-0.03392887,-0.0014639497,-0.036778986,-0.021951616,-0.022026598,-0.011937737,-0.02686143,-0.030961573,-0.031980693,-0.020922184,-0.0059756637,-0.005996704,-0.023225725,-0.027141333,-0.019280612,0.0043352842,-0.02576375,-0.013154507,0.025333166,-0.0063731074,-0.0041130185
0.017999649,0.026601493,-0.020003378,-0.014849663,0.0031979084,-0.035993576,5.865097e-05,-0.017870069,-0.0014594197,-0.008567035,-0.013468742,-0.020507216,0.00054585934,-0.006282687,0.0033652186,-0.009626687,-0.016654551,-0.009706676,-1.2695789e-05,0.018495858,-0.0099592805,0.0076469183,0.0024508834,0.007180035
0.018657148,0.028419852,-0.058420718,-0.055052936,-0.040591717,-0.051190913,-0.026740253,-0.05118233,-0.021036446,-0.03499019,-0.03305739,-0.03794682,-0.022794068,-0.03861898,-0.020284235,-0.02881819,-0.026091635,-0.030564308,-0.017936707,9.3996525e-05,-0.03250587,-0.020409107,-0.016644537,-0.014588237
-0.005746782,0.019897759,-0.114402354,-0.11050266,-0.08779651,-0.07839,-0.07524705,-0.09643507,-0.05459541,-0.095020354,-0.071499646,-0.07449895,-0.07403827,-0.070157826,-0.053764164,-0.05516559,-0.043040395,-0.06151271,-0.044590414,-0.06428552,-0.05081886,-0.043382883,-0.033970058,-0.045520782
-0.012652695,0.016771972,-0.13497195,-0.13135922,-0.120364726,-0.10173994,-0.09236169,-0.11101854,-0.08566463,-0.11649138,-0.09432948,-0.09004986,-0.09301305,-0.09261483,-0.07239735,-0.06906098,-0.04883617,-0.075870454,-0.060513794,-0.08181369,-0.052123427,-0.059148967,-0.044229448,-0.060273647
0.0009108186,0.028996587,-0.19256532,-0.17258051,-0.17525649,-0.13745087,-0.1275307,-0.12804341,-0.1326313,-0.13713872,-0.11910868,-0.07716733,-0.11239201,-0.12392926,-0.08891225,-0.0887565,-0.040277362,-0.086027384,-0.07781917,-0.080664754,-0.04376602,-0.06722826,-0.040356517,-0.06626046
0.019702792,0.06375909,-0.15571195,-0.16192794,-0.11542374,-0.1076802,-0.09302068,-0.090305984,-0.08924192,-0.11546749,-0.056571305,0.010517359,-0.067172825,-0.074373126,-0.02914393,-0.044091284,-0.0017166138,-0.026956558,-0.040672958,-0.018315673,-0.014210701,-0.021226346,0.041353762,-0.005306065
